#Arquivo Dados/ColetaChamadaReal60.txt 
#Parâmetros(Ocupação: 60.00%, Capacidade: 588000.000 bps)
#Coleta|Ocupação|E(n)|E(w)|lambda|Little

100 0.00000 0.00000 -nan 0.00000 -nan
13000 10.49641 38.52415 1172.86629 0.03285 0.00000000000007815970
13100 10.46683 38.55342 1180.02287 0.03267 0.00000000000007815970
13200 10.45652 38.58890 1179.10532 0.03273 0.00000000000008526513
13300 10.45904 38.53897 1183.76041 0.03256 0.00000000000006394885
13400 10.50846 38.38127 1174.22142 0.03269 0.00000000000001421085
13500 10.55236 38.23169 1173.01765 0.03259 0.00000000000007105427
13600 10.47476 38.07557 1176.88128 0.03235 0.00000000000007815970
13700 10.49190 37.92470 1175.49413 0.03226 0.00000000000007815970
13800 10.47998 37.76842 1179.19508 0.03203 0.00000000000006394885
13900 10.50818 37.61087 1166.94439 0.03223 0.00000000000011368684
14000 10.51894 37.47732 1160.80192 0.03229 0.00000000000012079227
14100 10.52935 37.35735 1162.77858 0.03213 0.00000000000014921397
14200 10.52848 37.25777 1157.68115 0.03218 0.00000000000013500312
14300 10.48723 37.17802 1150.74835 0.03231 0.00000000000014210855
14400 10.51923 37.09804 1148.84263 0.03229 0.00000000000018474111
14500 10.46139 36.92805 1149.04874 0.03214 0.00000000000017053026
14600 10.41866 36.67776 1144.22082 0.03205 0.00000000000017763568
14700 10.43755 36.45003 1130.41237 0.03224 0.00000000000020605739
14800 10.41034 36.22803 1124.05616 0.03223 0.00000000000021316282
14900 10.43129 36.01027 1108.58066 0.03248 0.00000000000017053026
15000 10.41803 35.82269 1103.36836 0.03247 0.00000000000019184654
15100 10.44186 35.63224 1104.81894 0.03225 0.00000000000018474111
15200 10.60581 35.44395 1092.79516 0.03243 0.00000000000019184654
15300 10.53649 35.27153 1083.64350 0.03255 0.00000000000019184654
15400 10.46807 35.13107 1073.44950 0.03273 0.00000000000019895197
15500 10.43590 35.01127 1072.47973 0.03265 0.00000000000021316282
15600 10.42432 34.81690 1060.82739 0.03282 0.00000000000018474111
15700 10.42159 34.62517 1057.61694 0.03274 0.00000000000017053026
15800 10.43962 34.44158 1048.51063 0.03285 0.00000000000013500312
15900 10.45351 34.27192 1047.92995 0.03270 0.00000000000011368684
16000 10.43440 34.11847 1039.80098 0.03281 0.00000000000011368684
16100 10.49749 33.98244 1036.20689 0.03280 0.00000000000009237056
16200 10.43269 33.87991 1027.81763 0.03296 0.00000000000012789769
16300 10.44661 33.79121 1019.99399 0.03313 0.00000000000013500312
16400 10.45148 33.63365 1017.69723 0.03305 0.00000000000016342483
16500 10.44081 33.43881 1010.51350 0.03309 0.00000000000012789769
16600 10.45851 33.24954 1009.03525 0.03295 0.00000000000011368684
16700 10.42893 33.05744 1001.92246 0.03299 0.00000000000011368684
16800 10.39395 32.86356 998.38670 0.03292 0.00000000000003552714
16900 10.36286 32.67033 996.62199 0.03278 0.00000000000005684342
