# Arquivo Coleta1.txt 
#Coluna 1 > Ponto de coleta
#Coluna 2 > Ocupação
#Coluna 3 > E(n)
#Coluna 4 > E(w)
#Coluna 5 > lambda
#Coluna 6 > Erro de Little
20600 17412.11660 5.33872 2.67813 1.99345 0.00000000006013767262
20700 17488.75533 5.33807 2.67628 1.99459 0.00000000007649081368
20800 17581.71757 5.36262 2.68809 1.99495 0.00000000006290701293
20900 17673.72358 5.36543 2.68908 1.99526 0.00000000004598543768
21000 17752.20311 5.35091 2.68203 1.99510 0.00000000007898215415
21100 17841.87569 5.35693 2.68400 1.99588 0.00000000005566036521
21200 17929.25988 5.35283 2.68300 1.99509 0.00000000004742783943
21300 18023.12231 5.35387 2.68368 1.99498 0.00000000001742517242
21400 18104.58873 5.34194 2.67836 1.99449 0.00000000001136069017
21500 18193.57741 5.34058 2.67839 1.99395 0.00000000001905586799
21600 18276.44008 5.33052 2.67331 1.99398 0.00000000005385203394
21700 18355.40137 5.31804 2.66645 1.99442 0.00000000002166000712
21800 18447.40649 5.32745 2.67102 1.99454 0.00000000003296829476
21900 18541.16493 5.32602 2.66923 1.99534 0.00000000004574829404
22000 18627.01261 5.32460 2.66861 1.99527 0.00000000004902211970
22100 18701.68028 5.31406 2.66384 1.99489 0.00000000005069367148
22200 18798.10255 5.33638 2.67439 1.99536 0.00000000007408296199
22300 18885.82702 5.33382 2.67290 1.99552 0.00000000005341060927
22400 18977.04593 5.34058 2.67609 1.99567 0.00000000006918376982
22500 19057.28486 5.34053 2.67639 1.99542 0.00000000009352163488
22600 19131.37895 5.32776 2.67038 1.99513 0.00000000009933032175
22700 19210.42552 5.32096 2.66718 1.99498 0.00000000013264944698
22800 19290.91235 5.31034 2.66206 1.99482 0.00000000013289813694
22900 19386.11439 5.31606 2.66396 1.99555 0.00000000013518075548
23000 19469.21373 5.31372 2.66259 1.99570 0.00000000014992984632
23100 19543.54656 5.30274 2.65793 1.99506 0.00000000014327827813
23200 19626.96827 5.30166 2.65713 1.99526 0.00000000013683809641
23300 19709.72758 5.29719 2.65492 1.99524 0.00000000010614442658
23400 19790.10085 5.28940 2.65093 1.99530 0.00000000016176038287
23500 19873.62920 5.27776 2.64597 1.99464 0.00000000021022827923
23600 19973.49101 5.31994 2.66528 1.99602 0.00000000023274271399
23700 20061.74553 5.33969 2.67453 1.99650 0.00000000018323031981
23800 20151.85918 5.34185 2.67576 1.99639 0.00000000019252333061
23900 20228.36370 5.33375 2.67264 1.99569 0.00000000020934365352
24000 20304.34781 5.32190 2.66767 1.99496 0.00000000021486457058
24100 20394.28645 5.32033 2.66686 1.99498 0.00000000021570922826
24200 20482.34306 5.33829 2.67600 1.99488 0.00000000019829116127
24300 20569.72212 5.34503 2.67985 1.99453 0.00000000024190516257
24400 20662.37574 5.37304 2.69248 1.99557 0.00000000026251267826
24500 20757.38988 5.39000 2.69913 1.99694 0.00000000026157565003
24600 20847.58043 5.40776 2.70823 1.99679 0.00000000027218760579
24700 20936.26980 5.40815 2.70819 1.99696 0.00000000027686652970
24800 21034.13288 5.43384 2.72120 1.99685 0.00000000028169644395
24900 21112.30980 5.42141 2.71583 1.99622 0.00000000030178615162
25000 21196.69005 5.41321 2.71078 1.99692 0.00000000033442404401
25100 21272.59859 5.40156 2.70579 1.99629 0.00000000031303581949
25200 21371.55500 5.41299 2.70961 1.99770 0.00000000030939517615
25300 21461.24413 5.42362 2.71578 1.99708 0.00000000029302427151
25400 21560.34287 5.43449 2.71933 1.99846 0.00000000027784796686
25500 21660.50550 5.49961 2.75158 1.99871 0.00000000025006752224
25600 21755.73279 5.50528 2.75361 1.99930 0.00000000023603963228
25700 21835.77884 5.49422 2.74839 1.99907 0.00000000021510881965
25800 21933.37397 5.50862 2.75484 1.99961 0.00000000023040769292
25900 22033.86473 5.56801 2.78288 2.00081 0.00000000026138113896
26000 22130.92404 5.62938 2.81334 2.00096 0.00000000023272228589
